Date,Close,Volume
2023-01-03,165.69261169433594,5137400
2023-01-04,165.2862548828125,4771300
2023-01-05,163.55926513671875,3647100
2023-01-06,167.25338745117188,3713200
2023-01-09,165.6187286376953,3319200
2023-01-10,164.2519073486328,3817300
2023-01-11,164.43661499023438,4369900
2023-01-12,162.3401641845703,4246600
2023-01-13,161.84144592285156,4720400
2023-01-17,162.5987548828125,5032600
2023-01-18,158.49826049804688,5032600
2023-01-19,156.660400390625,4720400
2023-01-20,156.89126586914062,5779100
2023-01-23,156.1893768310547,5440400
2023-01-24,157.63931274414062,4125600
2023-01-25,158.78453063964844,3852800
2023-01-26,157.2052764892578,4558400
2023-01-27,156.651123046875,5451400
2023-01-30,156.5218505859375,5191500
2023-01-31,157.94410705566406,4665500
2023-02-01,158.4428253173828,4147700
2023-02-02,156.97438049316406,5653800
2023-02-03,156.1893768310547,5308200
2023-02-06,158.6829376220703,5640000
2023-02-07,158.4428253173828,6044700
2023-02-08,158.07342529296875,5687300
2023-02-09,159.5695343017578,9619400
2023-02-10,162.72804260253906,6176000
2023-02-13,164.1780242919922,5205100
2023-02-14,162.33090209960938,5203000
2023-02-15,162.55255126953125,4125500
2023-02-16,162.09080505371094,4973200
2023-02-17,162.8019256591797,3952100
2023-02-21,162.70957946777344,5797300
2023-02-22,162.6541748046875,5299500
2023-02-23,162.8296356201172,3801400
2023-02-24,162.5064239501953,2959100
2023-02-27,162.46022033691406,3208500
2023-02-28,160.26220703125,4317100
2023-03-01,158.2303924560547,5359100
2023-03-02,161.14991760253906,4476300
2023-03-03,160.9918212890625,3627100
2023-03-06,161.3173065185547,3611400
2023-03-07,160.5176544189453,4094900
2023-03-08,160.95468139648438,2920200
2023-03-09,159.73667907714844,4042100
2023-03-10,159.95050048828125,4129900
2023-03-13,161.51251220703125,8265100
2023-03-14,161.34518432617188,6480800
2023-03-15,164.2274932861328,7099800
2023-03-16,164.11593627929688,4734400
2023-03-17,162.83282470703125,8854600
2023-03-20,165.1200714111328,4367000
2023-03-21,165.51060485839844,3812000
2023-03-22,164.11593627929688,4380800
2023-03-23,163.31631469726562,4655600
2023-03-24,166.51475524902344,3713800
2023-03-27,166.88668823242188,4078600
2023-03-28,166.83087158203125,2850000
2023-03-29,167.9838409423828,4496000
2023-03-30,168.13258361816406,2743000
2023-03-31,169.49937438964844,4479800
2023-04-03,169.68531799316406,3902300
2023-04-04,169.08094787597656,3306400
2023-04-05,170.74526977539062,3826300
2023-04-06,171.41470336914062,3389700
2023-04-10,170.33616638183594,2408100
2023-04-11,170.07582092285156,3586700
2023-04-12,169.74111938476562,3620900
2023-04-13,171.43331909179688,4303600
2023-04-14,170.62440490722656,2572900
2023-04-17,171.4984130859375,3224400
2023-04-18,171.85171508789062,2438600
2023-04-19,171.7494354248047,2209900
2023-04-20,172.31661987304688,3868200
2023-04-21,172.39102172851562,3781800
2023-04-24,172.4746551513672,3540200
2023-04-25,176.3890380859375,6231600
2023-04-26,175.30120849609375,4481700
2023-04-27,176.37046813964844,4574500
2023-04-28,177.48619079589844,4607500
2023-05-01,178.220703125,3137800
2023-05-02,178.75070190429688,3712200
2023-05-03,178.68560791015625,3389600
2023-05-04,179.8013458251953,4267600
2023-05-05,180.62889099121094,4146500
2023-05-08,179.77345275878906,2249900
2023-05-09,180.5079803466797,3087600
2023-05-10,180.62889099121094,4352900
2023-05-11,181.6237335205078,3690200
2023-05-12,182.3489532470703,2739800
2023-05-15,180.62889099121094,2946400
2023-05-16,179.8478546142578,5803100
2023-05-17,178.57403564453125,4878800
2023-05-18,178.10914611816406,3709400
2023-05-19,178.3695068359375,3883000
2023-05-22,173.5346221923828,5787000
2023-05-23,173.004638671875,6382300
2023-05-24,171.90750122070312,3721000
2023-05-25,170.89402770996094,4712700
2023-05-26,170.68951416015625,4449300
2023-05-30,168.85784912109375,4331800
