Date,Index_Value
2014-07-30,130.86597
2014-07-31,127.997656
2014-08-01,127.524231
2014-08-04,128.401834
2014-08-05,127.286387
2014-08-06,127.464142
2014-08-07,126.67762
2014-08-08,128.399691
2014-08-11,128.748753
2014-08-12,128.677925
2014-08-13,129.529724
2014-08-14,130.026072
2014-08-15,130.057093
2014-08-18,131.115581
2014-08-19,131.749249
2014-08-20,131.820102
2014-08-21,132.137376
2014-08-22,131.897223
2014-08-25,132.419664
2014-08-26,132.65278
2014-08-27,132.748834
2014-08-28,132.636036
2014-08-29,133.045766
2014-09-02,133.146412
2014-09-03,133.29311
2014-09-04,133.281795
2014-09-05,133.987821
2014-09-08,133.669712
2014-09-09,132.999154
2014-09-10,133.336878
2014-09-11,133.445902
2014-09-12,132.906359
2014-09-15,132.925456
2014-09-16,133.781255
2014-09-17,133.96492
2014-09-18,134.675927
2014-09-19,134.480541
2014-09-22,133.438104
2014-09-23,132.56514
2014-09-24,133.587406
2014-09-25,131.343182
2014-09-26,132.265352
2014-09-29,131.863785
2014-09-30,131.392869
2014-09-30,131.209297
2014-10-01,129.631931
2014-10-02,129.639258
2014-10-03,131.300169
2014-10-06,131.265417
2014-10-07,129.236356
2014-10-08,131.679908
2014-10-09,129.154706
2014-10-10,127.95886
2014-10-13,126.043512
2014-10-14,126.007368
2014-10-15,125.050748
2014-10-16,124.574942
2014-10-17,126.548035
2014-10-20,127.795833
2014-10-21,130.173535
2014-10-22,129.379945
2014-10-23,131.003822
2014-10-24,131.970102
2014-10-27,131.908154
2014-10-28,133.42851
2014-10-29,133.142069
2014-10-30,134.074945
2014-10-31,135.836231
2014-11-03,135.762475
2014-11-04,135.573916
2014-11-05,136.358234
2014-11-06,137.013258
2014-11-07,136.978534
2014-11-10,137.443817
2014-11-11,137.504587
2014-11-12,137.393575
2014-11-13,137.663852
2014-11-14,137.518901
2014-11-17,137.418956
2014-11-18,138.102287
2014-11-19,137.78901
2014-11-20,137.666502
2014-11-21,138.463848
2014-11-24,138.594099
2014-11-25,138.760803
2014-11-26,139.136392
2014-11-28,139.262429
2014-12-01,138.817274
2014-12-02,139.629102
2014-12-03,139.887861
2014-12-04,139.788337
2014-12-05,140.085621
2014-12-08,139.19361
2014-12-09,139.133998
2014-12-10,136.865179
2014-12-11,137.496319
2014-12-12,135.30371
2014-12-15,134.674886
2014-12-16,133.55689
2014-12-17,136.109639
2014-12-18,139.478559
2014-12-19,139.968902
2014-12-22,140.654914
2014-12-23,140.831484
2014-12-24,140.773997
2014-12-26,141.223163
2014-12-29,141.132429
2014-12-30,140.48679
2014-12-31,138.969334
2014-12-31,137.571769
2015-01-02,137.465824
2015-01-05,134.845228
2015-01-06,133.845327
2015-01-07,135.453982
2015-01-08,138.060589
2015-01-09,136.87122
2015-01-12,135.903656
2015-01-13,135.574887
2015-01-14,134.701762
2015-01-15,133.371196
2015-01-16,134.915863
2015-01-20,135.231206
2015-01-21,135.81203
2015-01-22,137.867161
2015-01-23,136.77039
2015-01-26,137.058417
2015-01-27,134.549265
2015-01-28,132.812779
2015-01-29,133.864011
2015-01-30,131.968107
2015-02-02,133.94198
2015-02-03,136.233433
2015-02-04,136.015547
2015-02-05,137.560449
2015-02-06,136.90596
2015-02-09,136.465464
2015-02-10,137.672024
2015-02-11,137.908054
2015-02-12,139.259586
2015-02-13,139.94243
2015-02-17,140.303107
2015-02-18,140.105849
2015-02-19,139.666733
2015-02-20,140.955882
2015-02-23,140.702015
2015-02-24,141.441458
2015-02-25,141.534868
2015-02-26,141.45769
2015-02-27,140.801694
2015-03-02,141.784649
2015-03-03,140.924802
2015-03-04,140.439787
2015-03-05,140.494833
2015-03-06,138.600482
2015-03-09,139.39535
2015-03-10,137.086225
2015-03-11,136.598548
2015-03-12,138.146011
2015-03-13,137.259815
2015-03-16,138.974864
2015-03-17,138.425728
2015-03-18,140.071199
2015-03-19,139.447121
2015-03-20,140.591841
2015-03-23,140.463451
2015-03-24,139.389089
2015-03-25,137.113837
2015-03-26,136.717895
2015-03-27,136.958331
2015-03-30,138.660539
2015-03-31,137.244566
2015-03-31,135.973471
2015-04-01,135.495444
2015-04-02,136.212957
2015-04-06,137.214921
2015-04-07,137.310986
2015-04-08,137.441254
2015-04-09,137.940574
2015-04-10,138.508629
2015-04-13,137.763958
2015-04-14,138.127877
2015-04-15,138.755272
2015-04-16,138.714215
2015-04-17,136.803313
2015-04-20,138.218458
2015-04-21,138.05613
2015-04-22,138.825567
2015-04-23,138.97243
2015-04-24,139.441795
2015-04-27,139.064111
2015-04-28,139.51645
2015-04-29,138.892421
2015-04-30,137.555362
2015-05-01,139.039231
2015-05-04,139.42945
2015-05-05,138.00022
2015-05-06,137.453361
2015-05-07,138.059866
2015-05-08,139.62067
2015-05-11,138.958994
2015-05-12,138.579058
2015-05-13,138.739016
2015-05-14,140.644327
2015-05-15,140.875852
2015-05-18,140.972695
2015-05-19,140.942458
2015-05-20,140.837697
2015-05-21,141.092864
2015-05-22,141.024206
2015-05-26,139.887619
2015-05-27,141.128848
2015-05-28,140.9781
2015-05-29,140.1549
2015-06-01,140.271622
2015-06-02,140.056047
2015-06-03,140.575799
2015-06-04,139.397141
2015-06-05,138.930609
2015-06-08,138.296024
2015-06-09,138.496367
2015-06-10,140.146991
2015-06-11,140.393542
2015-06-12,139.274133
2015-06-15,138.614747
2015-06-16,139.52035
2015-06-17,139.879746
2015-06-18,141.444425
2015-06-19,140.903722
2015-06-22,141.763466
2015-06-23,141.873912
2015-06-24,140.830842
2015-06-25,140.572019
2015-06-26,140.911139
2015-06-29,138.152545
2015-06-30,138.501102
2015-06-30,138.865945
2015-07-01,139.949028
2015-07-02,139.838718
2015-07-06,139.386967
2015-07-07,140.102203
2015-07-08,137.853524
2015-07-09,138.027135
2015-07-10,139.949164
2015-07-13,141.502346
2015-07-14,142.253117
2015-07-15,142.210181
2015-07-16,143.306248
2015-07-17,143.508772
2015-07-20,143.927847
2015-07-21,143.144662
2015-07-22,142.902199
2015-07-23,141.924159
2015-07-24,140.73878
2015-07-27,139.704523
2015-07-28,142.09134
2015-07-29,143.098459
2015-07-30,143.022217
2015-07-31,142.617628
2015-08-03,142.181174
2015-08-04,141.659253
2015-08-05,142.31036
2015-08-06,140.835712
2015-08-07,140.639294
2015-08-10,142.298458
2015-08-11,140.677803
2015-08-12,140.748046
2015-08-13,140.644426
2015-08-14,141.159011
2015-08-17,142.006134
2015-08-18,141.888001
2015-08-19,140.780728
2015-08-20,137.965522
2015-08-21,132.994166
2015-08-24,127.919821
2015-08-25,126.493115
2015-08-26,131.365922
2015-08-27,134.513494
2015-08-28,134.485241
2015-08-31,133.488856
2015-09-01,129.56682
2015-09-02,132.015601
2015-09-03,132.059064
2015-09-04,129.944111
2015-09-08,133.197292
2015-09-09,131.397014
2015-09-10,132.336005
2015-09-11,132.955738
2015-09-14,132.495923
2015-09-15,134.328843
2015-09-16,135.474957
2015-09-17,135.411979
2015-09-18,133.539724
2015-09-21,134.253016
2015-09-22,132.757919
2015-09-23,132.534358
2015-09-24,131.924262
2015-09-25,131.956971
2015-09-28,128.770899
2015-09-29,128.922752
2015-09-30,131.240265
2015-09-30,133.75452
2015-10-01,134.16627
2015-10-02,136.31319
2015-10-05,138.648571
2015-10-06,137.967859
2015-10-07,139.159882
2015-10-08,140.261759
2015-10-09,140.57395
2015-10-12,140.812532
2015-10-13,140.120812
2015-10-14,139.638737
2015-10-15,141.586675
2015-10-16,142.383611
2015-10-19,142.61282
2015-10-20,142.244114
2015-10-21,141.375021
2015-10-22,143.67737
2015-10-23,145.083555
2015-10-26,144.877811
2015-10-27,144.688004
2015-10-28,146.432609
2015-10-29,146.447569
2015-10-30,145.856773
2015-11-02,147.601769
2015-11-03,147.789623
2015-11-04,147.28676
2015-11-05,147.534016
2015-11-06,147.806797
2015-11-09,146.253473
2015-11-10,146.438772
2015-11-11,146.019216
2015-11-12,144.232516
2015-11-13,142.450606
2015-11-16,144.937226
2015-11-17,145.124956
2015-11-18,147.586369
2015-11-19,147.20045
2015-11-20,147.929815
2015-11-23,147.714577
2015-11-24,147.70866
2015-11-25,148.026543
2015-11-27,148.12681
2015-11-30,147.331992
2015-12-01,148.903907
2015-12-02,147.395942
2015-12-03,145.555455
2015-12-04,148.840121
2015-12-07,147.762832
2015-12-08,146.902777
2015-12-09,145.234042
2015-12-10,145.713234
2015-12-11,142.462919
2015-12-14,143.566461
2015-12-15,144.913608
2015-12-16,147.546096
2015-12-17,145.282728
2015-12-18,142.684206
2015-12-21,143.850536
2015-12-22,145.156611
2015-12-23,146.603545
2015-12-24,146.269995
2015-12-28,146.097717
2015-12-29,147.56038
2015-12-30,146.646942
2015-12-31,145.036384
2015-12-31,143.558518
2016-01-04,141.394668
2016-01-05,141.598275
2016-01-06,139.935771
2016-01-07,136.479236
2016-01-08,134.994846
2016-01-11,135.402007
2016-01-12,136.8153
2016-01-13,133.509819
2016-01-14,135.765853
2016-01-15,133.077659
2016-01-19,133.34766
2016-01-20,131.943561
2016-01-21,132.734374
2016-01-22,135.350364
2016-01-25,133.340511
2016-01-26,135.045253
2016-01-27,133.798677
2016-01-28,134.698276
2016-01-29,138.00285
2016-02-01,137.923956
2016-02-02,134.963992
2016-02-03,136.005006
2016-02-04,136.480809
2016-02-05,134.134808
2016-02-08,132.47947
2016-02-09,132.73678
2016-02-10,132.539809
2016-02-11,131.141385
2016-02-12,133.698702
2016-02-16,135.783664
2016-02-17,137.979671
2016-02-18,137.201285
2016-02-19,137.355075
2016-02-22,139.066709
2016-02-23,137.186634
2016-02-24,137.862663
2016-02-25,139.4837
2016-02-26,138.947363
2016-02-29,137.655189
2016-03-01,140.822842
2016-03-02,141.440486
2016-03-03,142.186177
2016-03-04,142.565386
2016-03-07,142.868915
2016-03-08,141.760574
2016-03-09,142.388156
2016-03-10,142.384808
2016-03-11,144.393135
2016-03-14,144.309391
2016-03-15,144.184686
2016-03-16,144.769083
2016-03-17,145.682813
2016-03-18,146.407852
2016-03-21,146.535476
2016-03-22,146.43181
2016-03-23,145.69851
2016-03-24,145.929663
2016-03-28,146.034588
2016-03-29,147.485376
2016-03-30,148.103258
2016-03-31,147.567997
2016-03-31,147.129317
2016-04-01,148.198306
2016-04-04,148.065846
2016-04-05,146.991421
2016-04-06,148.558296
2016-04-07,146.697765
2016-04-08,146.964525
2016-04-11,146.752319
2016-04-12,148.346204
2016-04-13,149.941677
2016-04-14,150.21786
2016-04-15,150.221141
2016-04-18,151.10711
2016-04-19,151.790326
2016-04-20,152.043657
2016-04-21,151.073373
2016-04-22,151.388303
2016-04-25,151.192862
2016-04-26,151.270823
2016-04-27,151.522092
2016-04-28,150.114826
2016-04-29,149.731911
2016-05-02,150.871325
2016-05-03,149.673501
2016-05-04,148.774847
2016-05-05,148.678443
2016-05-06,149.375496
2016-05-09,149.275328
2016-05-10,151.093974
2016-05-11,149.657536
2016-05-12,149.710353
2016-05-13,148.458702
2016-05-16,150.034747
2016-05-17,148.515516
2016-05-18,149.06615
2016-05-19,148.556246
2016-05-20,149.289623
2016-05-23,148.996407
2016-05-24,150.896127
2016-05-25,151.829193
2016-05-26,151.954671
2016-05-27,152.609973
2016-05-31,152.325591
2016-06-01,152.353815
2016-06-02,152.881889
2016-06-03,152.607152
2016-06-06,153.096583
2016-06-07,153.471683
2016-06-08,153.945337
2016-06-09,153.848708
2016-06-10,152.825064
2016-06-13,151.519525
2016-06-14,151.10306
2016-06-15,150.904103
2016-06-16,151.606084
2016-06-17,151.057487
2016-06-20,151.936535
2016-06-21,152.322296
2016-06-22,152.062665
2016-06-23,154.08806
2016-06-24,148.884939
2016-06-27,146.891533
2016-06-28,149.427485
2016-06-29,151.869789
2016-06-30,153.914202
2016-06-30,156.12232
2016-07-01,156.413363
2016-07-05,155.592404
2016-07-06,156.584661
2016-07-07,156.503348
2016-07-08,158.893018
2016-07-11,159.341384
2016-07-12,160.361342
2016-07-13,160.272772
2016-07-14,160.989616
2016-07-15,160.93071
2016-07-18,161.239116
2016-07-19,161.137098
2016-07-20,161.456763
2016-07-21,160.775272
2016-07-22,161.336729
2016-07-25,160.97912
2016-07-26,161.538099
2016-07-27,161.652226
2016-07-28,161.898266
2016-07-29,161.980186
2016-08-01,161.77983
2016-08-02,160.831058
2016-08-03,160.984961
2016-08-04,160.946428
2016-08-05,162.236296
2016-08-08,162.064535
2016-08-09,162.124222
2016-08-10,161.790885
2016-08-11,162.49904
2016-08-12,162.368833
2016-08-15,162.69646
2016-08-16,162.032179
2016-08-17,162.175355
2016-08-18,162.160567
2016-08-19,162.09405
2016-08-22,161.852683
2016-08-23,162.080955
2016-08-24,161.201272
2016-08-25,160.980679
2016-08-26,160.883687
2016-08-29,161.678568
2016-08-30,161.392629
2016-08-31,161.083426
2016-09-01,161.092457
2016-09-02,161.653185
2016-09-06,161.876201
2016-09-07,161.691135
2016-09-08,161.013085
2016-09-09,157.218627
2016-09-12,159.429302
2016-09-13,157.153298
2016-09-14,157.379018
2016-09-15,158.931158
2016-09-16,158.366482
2016-09-19,158.258164
2016-09-20,158.361556
2016-09-21,160.076421
2016-09-22,160.988272
2016-09-23,159.978521
2016-09-26,158.413864
2016-09-27,159.654384
2016-09-28,160.59483
2016-09-29,159.225672
2016-09-30,160.573737
2016-09-30,162.161294
2016-10-03,161.903903
2016-10-04,161.140539
2016-10-05,161.710913
2016-10-06,161.595454
2016-10-07,160.95232
2016-10-10,161.506361
2016-10-11,159.4397
2016-10-12,159.762644
2016-10-13,159.273971
2016-10-14,159.381938
2016-10-17,159.008356
2016-10-18,160.034917
2016-10-19,160.215917
2016-10-20,160.111233
2016-10-21,159.794396
2016-10-24,160.54243
2016-10-25,159.745388
2016-10-26,159.396874
